example_id                                                            | status  | run_time        |
./spec/controllers/organizations_controller_spec.rb[1:6:1:2:1]        | passed  | 0.05768 seconds |
./spec/controllers/organizations_controller_spec.rb[1:6:1:2:2]        | passed  | 0.04967 seconds |
./spec/controllers/organizations_controller_spec.rb[1:6:2:1]          | passed  | 0.06322 seconds |
./spec/controllers/organizations_controller_spec.rb[1:6:2:2]          | passed  | 0.04092 seconds |
./spec/controllers/organizations_controller_spec.rb[1:7:1:1]          | passed  | 0.06869 seconds |
./spec/controllers/organizations_controller_spec.rb[1:7:1:2]          | passed  | 0.07154 seconds |
./spec/controllers/organizations_controller_spec.rb[1:7:1:3]          | passed  | 0.07412 seconds |
./spec/controllers/organizations_controller_spec.rb[1:7:2:1]          | passed  | 0.0635 seconds  |
./spec/controllers/organizations_controller_spec.rb[1:7:2:2]          | passed  | 0.05708 seconds |
./spec/controllers/organizations_controller_spec.rb[1:7:2:3]          | passed  | 0.06438 seconds |
./spec/controllers/organizations_controller_spec.rb[1:8:1:1]          | passed  | 0.06905 seconds |
./spec/controllers/organizations_controller_spec.rb[1:8:1:2]          | passed  | 0.06919 seconds |
./spec/controllers/organizations_controller_spec.rb[1:8:1:3]          | passed  | 0.07165 seconds |
./spec/controllers/organizations_controller_spec.rb[1:8:1:4]          | failed  | 0.06019 seconds |
./spec/controllers/organizations_controller_spec.rb[1:8:1:5]          | passed  | 0.0757 seconds  |
./spec/controllers/organizations_controller_spec.rb[1:8:1:6]          | failed  | 0.05844 seconds |
./spec/controllers/organizations_controller_spec.rb[1:8:2:1]          | passed  | 0.05981 seconds |
./spec/controllers/organizations_controller_spec.rb[1:8:2:2]          | passed  | 0.07534 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:1:1:1]      | failed  | 0.00774 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:1:1:2]      | failed  | 0.00727 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:1:2:1]      | passed  | 0.01552 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:1:2:2]      | failed  | 0.01549 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:1:3:1]      | failed  | 0.00806 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:1:4:1]      | failed  | 0.00561 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:1:4:2]      | failed  | 0.00787 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:2:1:1]      | failed  | 0.00592 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:2:1:2]      | failed  | 0.00683 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:2:2:1]      | passed  | 0.01304 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:2:2:2]      | failed  | 0.01131 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:2:3:1]      | failed  | 0.00624 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:1:1]    | failed  | 0.00687 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:1:2]    | failed  | 0.00668 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:1:3]    | failed  | 0.00537 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:2:1]    | failed  | 0.00754 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:2:2]    | failed  | 0.00772 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:2:3]    | failed  | 0.00892 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:3:1]    | failed  | 0.01252 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:1:3:2]    | failed  | 0.00704 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:2:1]      | passed  | 0.02597 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:2:2]      | passed  | 0.01617 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:2:3]      | failed  | 0.02007 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:3:1]      | failed  | 0.0081 seconds  |
./spec/controllers/parental_consents_controller_spec.rb[1:3:4:1]      | failed  | 0.00712 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:3:4:2]      | failed  | 0.00675 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:4:1:1]      | failed  | 0.00734 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:4:1:2]      | failed  | 0.00644 seconds |
